Order Date,Category,Region,Segment,Sales,Profit
2023-07-01,Technology,East,Consumer,200,30
2023-07-02,Furniture,West,Corporate,500,70
2023-07-03,Office Supplies,Central,Home Office,300,50
2023-07-04,Technology,East,Consumer,150,20
2023-07-05,Furniture,West,Consumer,250,40
2023-07-06,Office Supplies,Central,Corporate,350,60
2023-07-07,Technology,East,Home Office,220,30
2023-07-08,Furniture,West,Consumer,450,70
2023-07-09,Office Supplies,Central,Corporate,380,55
2023-07-10,Technology,East,Consumer,200,25
2023-07-11,Furniture,West,Corporate,500,80
2023-07-12,Office Supplies,Central,Home Office,270,45
2023-07-13,Technology,East,Corporate,300,35
2023-07-14,Furniture,West,Consumer,550,90
2023-07-15,Office Supplies,Central,Home Office,400,60
2023-07-16,Technology,East,Consumer,240,30
2023-07-17,Furniture,West,Corporate,500,85
2023-07-18,Office Supplies,Central,Consumer,350,50
2023-07-19,Technology,East,Home Office,260,35
2023-07-20,Furniture,West,Consumer,420,65
2023-07-21,Office Supplies,Central,Corporate,500,75
2023-07-22,Technology,East,Consumer,230,40
2023-07-23,Furniture,West,Corporate,460,80
2023-07-24,Office Supplies,Central,Home Office,320,45
2023-07-25,Technology,East,Corporate,270,40
2023-07-26,Furniture,West,Consumer,500,75
2023-07-27,Office Supplies,Central,Corporate,460,70
2023-07-28,Technology,East,Home Office,240,35
2023-07-29,Furniture,West,Consumer,460,60
2023-07-30,Office Supplies,Central,Corporate,400,65
2023-07-31,Technology,East,Consumer,250,35
2023-08-01,Furniture,West,Corporate,550,90
2023-08-02,Technology,East,Home Office,270,45
2023-08-03,Office Supplies,Central,Consumer,310,55
2023-08-04,Furniture,West,Consumer,520,80
2023-08-05,Technology,East,Corporate,260,40
2023-08-06,Office Supplies,Central,Corporate,340,60
2023-08-07,Furniture,West,Home Office,400,70
2023-08-08,Technology,East,Consumer,300,50
2023-08-09,Office Supplies,Central,Corporate,360,65
2023-08-10,Furniture,West,Consumer,470,75
2023-08-11,Technology,East,Corporate,310,45
2023-08-12,Office Supplies,Central,Home Office,420,60
2023-08-13,Furniture,West,Corporate,480,70
2023-08-14,Technology,East,Consumer,220,30
2023-08-15,Office Supplies,Central,Home Office,350,55
2023-08-16,Furniture,West,Consumer,510,80
2023-08-17,Technology,East,Corporate,320,50
2023-08-18,Office Supplies,Central,Corporate,370,65
2023-08-19,Furniture,West,Consumer,540,90
2023-08-20,Technology,East,Home Office,280,45
2023-08-21,Office Supplies,Central,Consumer,330,50
2023-08-22,Furniture,West,Corporate,460,75
2023-08-23,Technology,East,Consumer,250,40
2023-08-24,Office Supplies,Central,Home Office,400,60
2023-08-25,Furniture,West,Consumer,550,100
2023-08-26,Technology,East,Corporate,310,45
2023-08-27,Office Supplies,Central,Corporate,380,60
2023-08-28,Furniture,West,Home Office,450,70
2023-08-29,Technology,East,Consumer,230,35
2023-08-30,Office Supplies,Central,Corporate,420,65
